Subject,Course_Number,Course_Code,Title,Credits,Description,Requisites,Equivalent_To,Additional_Information,Repeatable,Other_Notes,Description_HTML
AAAP,503,AAAP 503,Thesis,1-12 Credits,A written document resulting from study or research and submitted as a major requirement for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A written document resulting from study or research and submitted as a major requirement for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,507,AAAP 507,Seminar: [Topic],1-5 Credits,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,508,AAAP 508,Workshop: [Topic],1-5 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 5 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 5 times</b><br/>
</p>"
AAAP,510,AAAP 510,Experimental Course: [Topic],1-5 Credits,"Current topics are American Building Construction, American Architecture from a Preservation Perspective, Research Methods.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Current topics are American Building Construction, American Architecture from a Preservation Perspective, Research Methods.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,511,AAAP 511,Introduction to Historic Preservation,3 Credits,"History, evolution, modern concepts, and professional techniques of historic preservation.",,,,,,"<p class=""courseblockdesc"">
History, evolution, modern concepts, and professional techniques of historic preservation.<br/>
</p>"
AAAP,515,AAAP 515,Transportation and Preservation,3 Credits,Addresses compliance issues with preservation laws relating to transportation development. Includes understanding processes and negotiating needs of the resource with the needs of transportation authorities.,,,,,,"<p class=""courseblockdesc"">
Addresses compliance issues with preservation laws relating to transportation development. Includes understanding processes and negotiating needs of the resource with the needs of transportation authorities.<br/>
</p>"
AAAP,521,AAAP 521,American Architecture from a Preservation Perspective I,4 Credits,"American built environment from the colonial era to the federal period. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",,,,,,"<p class=""courseblockdesc"">
American built environment from the colonial era to the federal period. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.<br/>
</p>"
AAAP,522,AAAP 522,American Architecture from a Preservation Perspective II,4 Credits,"American built environment from the federal period to 1893. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",,,,,,"<p class=""courseblockdesc"">
American built environment from the federal period to 1893. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.<br/>
</p>"
AAAP,523,AAAP 523,American Architecture from a Preservation Perspective III,4 Credits,"American built environment from 1893 to the present. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",,,,,,"<p class=""courseblockdesc"">
American built environment from 1893 to the present. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.<br/>
</p>"
AAAP,524,AAAP 524,Vernacular Architecture,3 Credits,"Examines the characteristics and origins of vernacular building types and explores the cultural meanings of these sites, particularly in light of contemporary ideas about socioeconomic issues.",,,,,,"<p class=""courseblockdesc"">
Examines the characteristics and origins of vernacular building types and explores the cultural meanings of these sites, particularly in light of contemporary ideas about socioeconomic issues.<br/>
</p>"
AAAP,531,AAAP 531,National Register Nomination,3 Credits,"Provides an overview of the National Register of Historic Places (NRHP) and the processes for documenting, evaluating, and nominating properties to the register.",Prereq: AAAP 511.,,,,,"<p class=""courseblockdesc"">
Provides an overview of the National Register of Historic Places (NRHP) and the processes for documenting, evaluating, and nominating properties to the register.<br/><b>Requisites:</b> Prereq:  <a class=""bubblelink code"" href=""/search/?P=AAAP%20511"" onclick=""return showCourse(this, 'AAAP 511');"" title=""AAAP 511"">AAAP 511</a>.<br/>
</p>"
AAAP,538,AAAP 538,Building Pathology: [Topic],4 Credits,Examines the scientific fundamentals of material properties in building construction and the application of that knowledge to the preservation of historic buildings.,,,,Repeatable 2 times for a maximum of 12 credits when topic changes,,"<p class=""courseblockdesc"">
Examines the scientific fundamentals of material properties in building construction and the application of that knowledge to the preservation of historic buildings.<br/><b>Repeatable 2 times for a maximum of 12 credits when topic changes</b><br/>
</p>"
AAAP,541,AAAP 541,Legal Issues in Historic Preservation,4 Credits,"Examines constitutional, statutory, and common law affecting historic preservation. Covers First Amendment, eminent domain, due process, police powers, regulatory ""takings,"" and aesthetic zoning.",,,,,,"<p class=""courseblockdesc"">
Examines constitutional, statutory, and common law affecting historic preservation. Covers First Amendment, eminent domain, due process, police powers, regulatory ""takings,"" and aesthetic zoning.<br/>
</p>"
AAAP,542,AAAP 542,Preservation Ethics,3 Credits,Examines professional ethics in the field of historic preservation based on theories of public policy.,,,,,,"<p class=""courseblockdesc"">
Examines professional ethics in the field of historic preservation based on theories of public policy.<br/>
</p>"
AAAP,545,AAAP 545,Preservation Economics,3 Credits,Introduces economics of historic preservation projects and the financial techniques and incentives used to rehabilitate historic properties in the United States.,,,,,,"<p class=""courseblockdesc"">
Introduces economics of historic preservation projects and the financial techniques and incentives used to rehabilitate historic properties in the United States.<br/>
</p>"
AAAP,551,AAAP 551,Historic Survey and Inventory Methodology,4 Credits,Examines how historic inventories help communities plan for wise use of historic resources. Includes complete reconnaissance and survey documentation for historic properties and development of historic context statement.,,,,,,"<p class=""courseblockdesc"">
Examines how historic inventories help communities plan for wise use of historic resources. Includes complete reconnaissance and survey documentation for historic properties and development of historic context statement.<br/>
</p>"
AAAP,601,AAAP 601,Research: [Topic],1-6 Credits,Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,604,AAAP 604,Internship: [Topic],1-9 Credits,Professional practice in an organization that integrates concepts studied at the university with career-related work experience.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Professional practice in an organization that integrates concepts studied at the university with career-related work experience.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,605,AAAP 605,Reading and Conference: [Topic],1-16 Credits,A particular selection of material read by a student and discussed in conference with a faculty member.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A particular selection of material read by a student and discussed in conference with a faculty member.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,606,AAAP 606,Practicum: [Topic],1-16 Credits,A series of clinical experiences under academic supervision designed to integrate theory and principles with practice.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A series of clinical experiences under academic supervision designed to integrate theory and principles with practice.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,607,AAAP 607,Seminar: [Topic],1-5 Credits,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,608,AAAP 608,Workshop: [Topic],1-16 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,609,AAAP 609,Terminal Project,1-16 Credits,A presentation incorporating the knowledge and skills acquired from course work completed for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A presentation incorporating the knowledge and skills acquired from course work completed for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,610,AAAP 610,Experimental Course: [Topic],1-5 Credits,Experimental course - topic varies.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Experimental course - topic varies.<br/><b>Repeatable 99 times</b><br/>
</p>"
AAAP,611,AAAP 611,Terminal Project,1-12 Credits,,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,199,ACTG 199,Special Studies: [Topic],1-5 Credits,Experimental course - topic varies.,,,,Repeatable 99 times when topic changes,,"<p class=""courseblockdesc"">
Experimental course - topic varies.<br/><b>Repeatable 99 times when topic changes</b><br/>
</p>"
ACTG,340,ACTG 340,Accounting for Entrepreneurs,4 Credits,Sources and uses of cash in the context of start-up and small firms. Emphasis on cash generated by operations and used for operations and growth. Secondary emphasis on external sources of cash.,Prereq: BA 211Z or MGMT 335.,,,,,"<p class=""courseblockdesc"">
Sources and uses of cash in the context of start-up and small firms. Emphasis on cash generated by operations and used for operations and growth. Secondary emphasis on external sources of cash.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=BA%20211Z"" onclick=""return showCourse(this, 'BA 211Z');"" title=""BA 211Z"">BA 211Z</a> or <a class=""bubblelink code"" href=""/search/?P=MGMT%20335"" onclick=""return showCourse(this, 'MGMT 335');"" title=""MGMT 335"">MGMT 335</a>.<br/>
</p>"
ACTG,350,ACTG 350,Intermediate Accounting I,4 Credits,"Concepts and principles of financial accounting, including U.S. and international financial reporting standards; analysis of alternatives for income measurement and asset and liability valuation.",Prereq: BA 101Z; BA 169Z; BA 213Z or BA 215; EC 201Z; MATH 241 or MATH 251Z; STAT 243Z or MATH 345M or DSCI 102; WR 122Z or WR 123.,,,,,"<p class=""courseblockdesc"">
Concepts and principles of financial accounting, including U.S. and international financial reporting standards; analysis of alternatives for income measurement and asset and liability valuation.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=BA%20101Z"" onclick=""return showCourse(this, 'BA 101Z');"" title=""BA 101Z"">BA 101Z</a>; <a class=""bubblelink code"" href=""/search/?P=BA%20169Z"" onclick=""return showCourse(this, 'BA 169Z');"" title=""BA 169Z"">BA 169Z</a>; <a class=""bubblelink code"" href=""/search/?P=BA%20213Z"" onclick=""return showCourse(this, 'BA 213Z');"" title=""BA 213Z"">BA 213Z</a> or <a class=""bubblelink code"" href=""/search/?P=BA%20215"" onclick=""return showCourse(this, 'BA 215');"" title=""BA 215"">BA 215</a>; <a class=""bubblelink code"" href=""/search/?P=EC%20201Z"" onclick=""return showCourse(this, 'EC 201Z');"" title=""EC 201Z"">EC 201Z</a>; <a class=""bubblelink code"" href=""/search/?P=MATH%20241"" onclick=""return showCourse(this, 'MATH 241');"" title=""MATH 241"">MATH 241</a> or <a class=""bubblelink code"" href=""/search/?P=MATH%20251Z"" onclick=""return showCourse(this, 'MATH 251Z');"" title=""MATH 251Z"">MATH 251Z</a>; <a class=""bubblelink code"" href=""/search/?P=STAT%20243Z"" onclick=""return showCourse(this, 'STAT 243Z');"" title=""STAT 243Z"">STAT 243Z</a> or <a class=""bubblelink code"" href=""/search/?P=MATH%20345M"" onclick=""return showCourse(this, 'MATH 345M');"" title=""MATH 345M"">MATH 345M</a> or <a class=""bubblelink code"" href=""/search/?P=DSCI%20102"" onclick=""return showCourse(this, 'DSCI 102');"" title=""DSCI 102"">DSCI 102</a>; <a class=""bubblelink code"" href=""/search/?P=WR%20122Z"" onclick=""return showCourse(this, 'WR 122Z');"" title=""WR 122Z"">WR 122Z</a> or <a class=""bubblelink code"" href=""/search/?P=WR%20123"" onclick=""return showCourse(this, 'WR 123');"" title=""WR 123"">WR 123</a>.<br/>
</p>"
ACTG,351,ACTG 351,Intermediate Accounting II,4 Credits,"Concepts and principles of financial accounting, including U.S. and international financial reporting standards. Analysis of alternatives for income measurement and asset and liability valuation.",Prereq: ACTG 350.,,,,,"<p class=""courseblockdesc"">
Concepts and principles of financial accounting, including U.S. and international financial reporting standards. Analysis of alternatives for income measurement and asset and liability valuation.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ACTG%20350"" onclick=""return showCourse(this, 'ACTG 350');"" title=""ACTG 350"">ACTG 350</a>.<br/>
</p>"
ACTG,352,ACTG 352,Intermediate Accounting III,4 Credits,"Concepts and principles of financial accounting, including U.S. and international financial reporting standards; analysis of alternatives for income measurement and asset and liability valuation.","Prereq: ACTG 351, FIN 316.",,,,,"<p class=""courseblockdesc"">
Concepts and principles of financial accounting, including U.S. and international financial reporting standards; analysis of alternatives for income measurement and asset and liability valuation.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ACTG%20351"" onclick=""return showCourse(this, 'ACTG 351');"" title=""ACTG 351"">ACTG 351</a>, <a class=""bubblelink code"" href=""/search/?P=FIN%20316"" onclick=""return showCourse(this, 'FIN 316');"" title=""FIN 316"">FIN 316</a>.<br/>
</p>"
ACTG,360,ACTG 360,Cost Accounting,4 Credits,"Development and communication of cost information to assist in planning, motivating managers, controlling costs, and evaluating performance.","Prereq: BA 101Z, BA 169Z, BA 213Z, EC 201Z, EC 202Z, MATH 241, STAT 243Z; WR 122Z or WR 123.",,,,,"<p class=""courseblockdesc"">
Development and communication of cost information to assist in planning, motivating managers, controlling costs, and evaluating performance.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=BA%20101Z"" onclick=""return showCourse(this, 'BA 101Z');"" title=""BA 101Z"">BA 101Z</a>, <a class=""bubblelink code"" href=""/search/?P=BA%20169Z"" onclick=""return showCourse(this, 'BA 169Z');"" title=""BA 169Z"">BA 169Z</a>, <a class=""bubblelink code"" href=""/search/?P=BA%20213Z"" onclick=""return showCourse(this, 'BA 213Z');"" title=""BA 213Z"">BA 213Z</a>, <a class=""bubblelink code"" href=""/search/?P=EC%20201Z"" onclick=""return showCourse(this, 'EC 201Z');"" title=""EC 201Z"">EC 201Z</a>, <a class=""bubblelink code"" href=""/search/?P=EC%20202Z"" onclick=""return showCourse(this, 'EC 202Z');"" title=""EC 202Z"">EC 202Z</a>, <a class=""bubblelink code"" href=""/search/?P=MATH%20241"" onclick=""return showCourse(this, 'MATH 241');"" title=""MATH 241"">MATH 241</a>, <a class=""bubblelink code"" href=""/search/?P=STAT%20243Z"" onclick=""return showCourse(this, 'STAT 243Z');"" title=""STAT 243Z"">STAT 243Z</a>; <a class=""bubblelink code"" href=""/search/?P=WR%20122Z"" onclick=""return showCourse(this, 'WR 122Z');"" title=""WR 122Z"">WR 122Z</a> or <a class=""bubblelink code"" href=""/search/?P=WR%20123"" onclick=""return showCourse(this, 'WR 123');"" title=""WR 123"">WR 123</a>.<br/>
</p>"
ACTG,401,ACTG 401,Research: [Topic],1-21 Credits,Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,403,ACTG 403,Thesis,1-12 Credits,A written document resulting from study or research and submitted as a major requirement for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A written document resulting from study or research and submitted as a major requirement for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,404,ACTG 404,Internship: [Topic],1-12 Credits,Professional practice in an organization that integrates concepts studied at the university with career-related work experience.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Professional practice in an organization that integrates concepts studied at the university with career-related work experience.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,405,ACTG 405,Reading and Conference: [Topic],1-12 Credits,A particular selection of material read by a student and discussed in conference with a faculty member.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A particular selection of material read by a student and discussed in conference with a faculty member.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,406,ACTG 406,Practicum: [Topic],1-12 Credits,A series of clinical experiences under academic supervision designed to integrate theory and principles with practice.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A series of clinical experiences under academic supervision designed to integrate theory and principles with practice.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,407,ACTG 407,Seminar: [Topic],4 Credits,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,408,ACTG 408,Workshop: [Topic],1-21 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,409,ACTG 409,Terminal Project,1-12 Credits,A presentation incorporating the knowledge and skills acquired from course work completed for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A presentation incorporating the knowledge and skills acquired from course work completed for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
ACTG,410,ACTG 410,Experimental Course: [Topic],1-4 Credits,A recent topic is Accounting Information Systems.,"Prereq: BA 101Z, BA 169Z, BA 213Z, EC 201Z, EC 202Z, STAT 243Z; one from MATH 241, MATH 246, MATH 251Z.",,,Repeatable 99 times when topic changes,,"<p class=""courseblockdesc"">
A recent topic is Accounting Information Systems.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=BA%20101Z"" onclick=""return showCourse(this, 'BA 101Z');"" title=""BA 101Z"">BA 101Z</a>, <a class=""bubblelink code"" href=""/search/?P=BA%20169Z"" onclick=""return showCourse(this, 'BA 169Z');"" title=""BA 169Z"">BA 169Z</a>, <a class=""bubblelink code"" href=""/search/?P=BA%20213Z"" onclick=""return showCourse(this, 'BA 213Z');"" title=""BA 213Z"">BA 213Z</a>, <a class=""bubblelink code"" href=""/search/?P=EC%20201Z"" onclick=""return showCourse(this, 'EC 201Z');"" title=""EC 201Z"">EC 201Z</a>, <a class=""bubblelink code"" href=""/search/?P=EC%20202Z"" onclick=""return showCourse(this, 'EC 202Z');"" title=""EC 202Z"">EC 202Z</a>, <a class=""bubblelink code"" href=""/search/?P=STAT%20243Z"" onclick=""return showCourse(this, 'STAT 243Z');"" title=""STAT 243Z"">STAT 243Z</a>; one from <a class=""bubblelink code"" href=""/search/?P=MATH%20241"" onclick=""return showCourse(this, 'MATH 241');"" title=""MATH 241"">MATH 241</a>, <a class=""bubblelink code"" href=""/search/?P=MATH%20246"" onclick=""return showCourse(this, 'MATH 246');"" title=""MATH 246"">MATH 246</a>, <a class=""bubblelink code"" href=""/search/?P=MATH%20251Z"" onclick=""return showCourse(this, 'MATH 251Z');"" title=""MATH 251Z"">MATH 251Z</a>.<br/><b>Repeatable 99 times when topic changes</b><br/>
</p>"
ACTG,425,ACTG 425,Professional Ethics for Accountants,4 Credits,This course presents the ethical standards of the accounting profession with emphasis on contemporary issues confronting accountants and auditors including their social and ethical responsibilities.,Prereq: BA 213Z.,,,,,"<p class=""courseblockdesc"">
This course presents the ethical standards of the accounting profession with emphasis on contemporary issues confronting accountants and auditors including their social and ethical responsibilities.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=BA%20213Z"" onclick=""return showCourse(this, 'BA 213Z');"" title=""BA 213Z"">BA 213Z</a>.<br/>
</p>"
ACTG,440,ACTG 440,Auditing,4 Credits,"The audit environment, examinations of financial statements, and the audit process. Includes professional standards, audit sampling, and the audit profession; concepts underlying professional ethics for auditors.",Prereq: ACTG 350.,,,,,"<p class=""courseblockdesc"">
The audit environment, examinations of financial statements, and the audit process. Includes professional standards, audit sampling, and the audit profession; concepts underlying professional ethics for auditors.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ACTG%20350"" onclick=""return showCourse(this, 'ACTG 350');"" title=""ACTG 350"">ACTG 350</a>.<br/>
</p>"
ACTG,450,ACTG 450,Advanced Financial Accounting,4 Credits,Accounting for equity; financial accounting and reporting for corporate consolidation.,Prereq: ACTG 352.,,,,,"<p class=""courseblockdesc"">
Accounting for equity; financial accounting and reporting for corporate consolidation.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ACTG%20352"" onclick=""return showCourse(this, 'ACTG 352');"" title=""ACTG 352"">ACTG 352</a>.<br/>
</p>"
ACTG,460,ACTG 460,Government & Not for Profit Accounting,4 Credits,"This course teaches differences in accounting and financial reporting for governmental and not-for-profit organizations and differences between private sector and public-sector accounting, standards-setting, meeting stakeholder needs.",,,,,,"<p class=""courseblockdesc"">
This course teaches differences in accounting and financial reporting for governmental and not-for-profit organizations and differences between private sector and public-sector accounting, standards-setting, meeting stakeholder needs.<br/>
</p>"
